,24.osc2waveform,26.lfo1waveform,32.lfo1destination,30.lfo1amount,28.lfo1rate,3.cufoff
0,4.6556708314229e-310,4.6556956214916e-310,4.6556708314229e-310,4.6556956214916e-310,0.469333333,0.341333333
1,0.75,0.75,0.4300000071525574,0.7099999785423279,0.3100000023841858,0.6200000047683716
2,0.0,0.0,0.43,0.53,0.34,0.81
3,0.75,0.75,0.4300000071525574,0.7099999785423279,0.3100000023841858,0.6299999952316284
4,0.25,0.25,0.43,1.0,0.51,0.67
5,0.75,0.75,0.4300000071525574,0.7200000286102295,0.3100000023841858,0.6299999952316284
6,0.25,0.75,0.43,0.8,0.17,1.0
7,0.75,0.75,0.4300000071525574,0.7200000286102295,0.3100000023841858,0.6299999952316284
8,0.0,0.75,0.43,0.57,0.13,0.81
9,0.75,0.75,0.4300000071525574,0.7200000286102295,0.3100000023841858,0.6299999952316284
10,0.25,0.75,0.43,0.7,0.47,0.53
11,0.75,0.75,0.4300000071525574,0.7099999785423279,0.3100000023841858,0.6299999952316284
12,0.5,0.25,0.43,0.83,0.34,0.67
13,0.75,0.75,0.4300000071525574,0.7200000286102295,0.3100000023841858,0.6299999952316284
14,0.5,0.5,0.43,1.0,0.34,0.91
15,0.75,0.75,0.4300000071525574,0.7099999785423279,0.3100000023841858,0.6299999952316284
16,0.0,0.75,0.43,0.5,0.64,0.49
17,0.75,0.75,0.4300000071525574,0.7099999785423279,0.3100000023841858,0.6200000047683716
18,0.75,0.75,0.43,0.67,0.04,0.35
19,0.75,0.75,0.4300000071525574,0.7099999785423279,0.3100000023841858,0.6299999952316284
20,0.5,0.0,0.43,0.8,0.64,0.53
21,0.341333333,0.426666667,0.554666667,0.128,0.128,0.426666667
22,0.469333333,0.341333333,0.256,0.554666667,0.085333333,0.426666667
23,0.170666667,0.298666667,0.042666667,0.170666667,0.0,0.256
24,0.426666667,0.64,0.042666667,0.512,0.426666667,0.0
25,0.213333333,0.0,0.341333333,0.426666667,0.341333333,0.128
26,0.128,0.554666667,0.512,0.426666667,0.64,0.512
27,0.554666667,0.64,0.170666667,0.512,0.170666667,0.213333333
